,title,disciption,Imdb_rating,genres,Released_date,image_url,video,webpage_url
0,Jujutsu Kaisen 0,"Yuta Okkotsu witnessed the death of his childhood sweetheart in a traffic accident.Rika was turned into a cursed spirit. Haunted by her spirit, Okkotsu wanted to end his life.But he was taken to the Jujutsu High by the most powerful Jujutsu Sorcerer, Satoru Gojo.There, he made a decision to break Rika's curse at Jujutsu High.",IMDb 7.8,Animation·Horror·Drama·Anime,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/3e9095dfaef2f3e86c69b4361ea8f3b9344e6dfd4d39ee515c5cce144fecf083._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0GTVYMIYD1GSB85O4H2JZWZJK0/ref=atv_br_def_r_br_c_unkc_1_1
1,LEGO Marvel: Maximum Overload,Spider-Man and Marvel's Super Heroes take on a mischievous Loki and a team of super villains in an all-new LEGO adventure,IMDb 6.3,Kids·Anime·Ambitious·Emotional,2013,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/ce7ccbc8fa56c082ebb1882e1dfb549cbfaa2473b3ece6dfdba9299e940affa9._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0NYJEB34YEBUBBRQTJCFDI19A3/ref=atv_br_def_r_br_c_unkc_1_2
2,LUPIN THE 3rd vs. CAT’S EYE,"Hitomi, Rui, and Ai are sisters and cat burglars. They steal a painting from a museum around the same time Lupin the 3rd appears to steal another painting himself. Both paintings are part of Michael Heinz’s series titled the Girl and the Flowers. To the girls, the paintings are clues for their missing father's whereabouts. When they learn Lupin is after the same target, a fire lights inside them.",IMDb 6.0,Anime,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/2caf607f0a45aff132e4b6d6581f3a7ecde8e33f2c58fe07b419d065d47dfeac._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0JHJJJYBCOBY4LZFYHGU6JJDWX/ref=atv_br_def_r_br_c_unkc_1_3
3,EVANGELION:1.11 YOU ARE (NOT) ALONE.,"Scarred by the Second Impact, the Fourth Angel attacks Tokyo III and humanity's fate is left in Special Government Agency NERV's hands. Young Shinji Ikari is forced to pilot EVA-01. He and EVA-00 pilot Rei Ayanami are tasked to fight, but EVA-01 is damaged by the Sixth Angel. Misato Katsuragi draws up a plan to focus all of Japan's electricity into EVA-01's positron cannon to defeat the Angel.",IMDb 7.6,Science Fiction·Animation·Electrifying·Futuristic,2008,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/23078d3b1107723b5513b8355aeb615f171269a473beccf0f512965ddae71770._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0K1XKKH7C44WF7VDCYDCFKF3EO/ref=atv_br_def_r_br_c_unkc_1_4
4,None,"The fourth and final installment of the Rebuild of Evangelion. Misato and her anti-Nerv group Wille arrive in Paris, a city now red from core-ization. Crew from the flagship Wunder land on a containment tower.",IMDb 8.0,Animation·Drama·Electrifying·Futuristic,2021,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/4c621507215b247eeec866143a707869c58e8d2053e302615dd2ba1df40e51e0._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0LGLRP55V9NY63NO3FSTBTIKLM/ref=atv_br_def_r_br_c_unkc_1_5
5,LEGO Marvel Black Panther,"Ulysses Klaue and Eric Killmonger are back to loot Wakanda's Vibrainium mines, this time with the help of the mad titan Thanos. Can Black Panther thwart their evil plot, even with the aid of Earth's Mightiest Heroes?",IMDb 5.6,Science Fiction·Comedy·Exciting·Fantastic,2018,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/98682998c087a6705ac00b1e5894f4040a6d9344cdec169e1dd3819ae61cd0a5._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0FBDCOKUAG7O1FBFUZJF1CAGK4/ref=atv_br_def_r_br_c_unkc_1_6
6,EVANGELION:2.22 YOU CAN (NOT) ADVANCE.,"Mari Illustrious-Makinami pilots Provisional Unit-05 to defeat the excavated Third Angel. Asuka Langley-Shikinami and EVA-02 defeat the Seventh Angel. The Eighth Angel appears and attacks NERV HQ. EVA-03 is taken over by the Ninth Angel during testing and Shinji deploys to stop it, but learns Asuka is aboard. Gendoh switches EVA-01's controls over to the Dummy System and begins fighting EVA-03...",IMDb 7.9,Science Fiction·Animation·Electrifying·Futuristic,2009,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/8849bbe0b78a7d8b5dd380849c63fc043d483eea3553925e6727bb5997647e38._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0GI1ZOJJGCMFZFPD0I3OUZOAEN/ref=atv_br_def_r_br_c_unkc_1_7
7,EVANGELION:3.33 YOU CAN (NOT) REDO.,"Shinji wakes after 14 years aboard the battleship AAA Wunder belonging to an anti-NERV organization founded by former NERV members. Shinji hears Rei's voice coming from EVA Mark.09, sent to rescue him, so he leaves Wunder and heads to NERV. Kaworu Nagisa shows Shinji the transformed land. He learns that saving Rei triggered the Near Third Impact that caused the catastrophic damage to Earth.",IMDb 6.9,Science Fiction·Animation·Electrifying·Futuristic,2013,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/e35a7d948704b9c487a41478f55cd49223020be43e78c322edc3bde0aaa4de9c._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0KRIACGNJC4VGD5XVFOGEHFZRR/ref=atv_br_def_r_br_c_unkc_1_8
8,LEGO Marvel: Guardians of the Galaxy,Guardians of the Galaxy: The Thanos Threat is a miniseries of LEGO Marvel shorts centered around the Guardians of the Galaxy in their efforts to keep the powerful Build Stone out of the clut,IMDb 5.8,Science Fiction·Comedy·Animation·Fun,2017,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/34dc1763bfcf4515bdaef5234735e4b3284ef99a92e2319cebf040cd4548486e._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0FWOM5WG4FK3Y7M0KU4MRVBKJC/ref=atv_br_def_r_br_c_unkc_1_9
9,Jil Jil Genie- Imposter,"""On finding that genies exist, Professor Nutloose had decided to capture Jil Jil, the most powerful among the genies.  When his attempts failed miserably, the professor decides to make an artificial genie - a replica of the original Jil Jil.  Finding that it is a herculean task, he goes back to his attempts to capture the real genie. The adventure continues ..",None,Animation·Drama·Anime·Fantasy,2021,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/b2b54ceb8008e2d646f356af7fb1b15c158a8ec11fae2dfc987770ebd7487e14._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0I3U5SAUN2NYL3GWZ9SJKF7W43/ref=atv_br_def_r_br_c_unkc_1_10
