,title,disciption,Imdb_rating,genres,Released_date,image_url,video,webpage_url
0,Kacher Manush,"Kuntol and Sudarshan meet when they are at their lowest. On hearing Kuntol's story, Sudarshan gets a dangerous and illegal idea that can solve both their problems that results in a hide and seek game with life.",None,Comedy·Drama,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/895ef3add27e7ae5316f6837093c4c353d55c761b5246896262d6bc2af4f7227._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0FO4ZNNZ7Q1Q6DBT6TS2FUXXRX/ref=atv_br_def_r_br_c_unkc_1_1
1,Cockpit,"Based on a real-life incident, Cockpit follows the story of a flight going from Mumbai to Calcutta, which gets hit due to bad turbulent weather on air. The challenges that the pilot faces in order to land the airplane, after the engines were damaged, forms the crux of the film.",IMDb 6.1,Drama·Adventure,2017,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/05cf7b215518c79096b0a312c5f4f5058e332c60726ba23fd5d636d727555d8e._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0PAISV08408C9ISD6WISYGBIL7/ref=atv_br_def_r_br_c_unkc_1_2
2,Kishmish,"Tintin goes to his new college in North Bengal where he meets Rohini, the topper girl in his batch. Atlthough not having having started on the right page, they gradually fall in love. They decide to marry each other but fail to convince their parents. Then a series of events happen in their life which makes the situation more complex.",IMDb 6.6,Comedy·Drama·Romance,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/88a6fa5b545b4cb4f1510e4e77d592a8044eab8d5ce924540a2c72242492b6e0._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0M54RMVVR4ZFHH4HUY6M137FM0/ref=atv_br_def_r_br_c_unkc_1_3
3,The Eken,"Detective Ekendra Sen is in Darjeeling with friends Bapi and Pramatha for a vacation. Here, he crosses paths with the charming actress Bipasha Mitra who gives him an unexpected proposal. The plot thickens when a murder takes place soon after. Watch Eken Babu uncover the mystery in the misty hills.",IMDb 6.5,Comedy·Suspense,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/f9431cf2169643575032d7316b38d3387cb15b3e06286b47b9fa6a5097f36868._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0JH2MGX1NE1LPYKLSE3NH5O398/ref=atv_br_def_r_br_c_unkc_1_4
4,Flat No. 609,A couple moves into a beautiful duplex and starts experiencing paranormal activities.,IMDb 5.5,Suspense·Horror,2018,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/7dea2f493aa97497882ad9ddf9ee6d055ff9ad9948144b1104bb0f451ed46916._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0JKZBR8ZYYULU880PWTBEM93KN/ref=atv_br_def_r_br_c_unkc_1_5
5,Sheser Golpo,Amit Ray & Labanya Dutta of Sheser Golpo by Rabindranath Tagore meets each other after long time. An untold story based on imagination.,IMDb 7.4,Drama,2019,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/6ef44dc0bdb3702624a626037a4cf260ced4d4f979ca926228c843ea4331e3cb._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0M99WTIQP7FPP8FFFAITKZTTYN/ref=atv_br_def_r_br_c_unkc_1_6
6,Cheeni,"A mother-daughter's love story, with a twist! This family drama will take you on an emotional roller coaster ride, amidst unwanted revelations and surprising family secrets.",IMDb 6.4,Drama,2020,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/633b5719a78e326684337773d35365dbadcad3dd903c4428b90a9789c3098ad2._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0OFK1ON4RH50EXLGR5ZCHQ5ACV/ref=atv_br_def_r_br_c_unkc_1_7
7,Mukhosh,A heinous serial killer is on the loose in Kolkata. The city police ropes in consulting criminologist Kingshuk to break open the case. Will they succeed in their pursuit of the masked killer?,IMDb 7.1,Suspense,2021,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/74dabb6b3457e22d9900211f31599997f481bd120b4e0eadbbbb54e4a2e398f8._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0KLK1WJ8GTZGR7R97U6Z9A3BB7/ref=atv_br_def_r_br_c_unkc_1_8
8,Sunderbaner Goppo,"A boy, Naren gets stuck in the forest of Sundarban after going with his father for fish catching. There, he comes across the labyrinth of dacoit Rahaman of the jungle and an unescapable situation. What happens next? Will Naren be able to back home from the crisis?",IMDb 8.2,Suspense·Drama,2021,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/038632ceca2f239eb82985102995d8a1ecc362b7de9fdaa443c3cd2320a3f3bb._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0NJCY7IZ9BQQ0VQVFQ1Q4XEPX8/ref=atv_br_def_r_br_c_unkc_1_9
9,Gaheen Hriday,"Inspired by Suchitra Bhattacharya's popular novel, 'Gaheen Hriday' is a story about love and choices. Sohini falls out of love with her husband, Bhaskar and is drawn to Bhaskar's friend, Anupam. The plan of Sohini to divorce her husband and go settle with Anupam goes haywire when she comes to know that Bhaskar has cancer. What happens next is the crux of this heart-wrenching story.",IMDb 6.7,Drama,2018,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/057a451f6e120cf5f92c0496250460ce9b71acff23ed7b6afcd651cecff7ed9e._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0IZK9E112IIRUXTG9THOU1PAYC/ref=atv_br_def_r_br_c_unkc_1_10
