,title,disciption,Imdb_rating,genres,Released_date,image_url,video,webpage_url
0,Ponniyin Selvan Part 1 (Hindi),"969 AD, The Chola Empire- A period of conspiracies, mysteries, political turmoil and impending war as Pandiya rebels take an oath to spill royal blood and Chola chieftains plan a mutiny. Will the next king be the wild prince Aditya Karikalan, the hermit prince Arunmozhi Varman, their estranged uncle Madhuranthakan or the Pandiya rebel Amarabujanga?",IMDb 7.7,Historical·Adventure·International·Fantasy,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/79f462c4903f1b58bcb264d6cd7d82b2adc479cbad8c84ee51f1256f93e1bf84._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0N0VRKCHYKXDHEV50D8IZF3LFU/ref=atv_br_def_r_br_c_unkc_1_1
1,Thank God,"An egoistic real estate broker in huge debts meets with an accident. As he gains consciousness, he realizes that he is in a game show. CG appears in front of him and informs him that he will have to play a “GAME OF LIFE”.",IMDb 5.6,Comedy·Drama·International·Fantasy,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/f23f76bb983c619ea2e3293ced23546ed593846fa322b6472b41ee8e6c82ab8c._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0R36EFFNE3NAX3JD5LVCL2PVWW/ref=atv_br_def_r_br_c_unkc_1_2
2,Harry Potter and the Sorcerer's Stone,"Based on the wildly popular J.K. Rowling's book about a young boy who on his eleventh birthday discovers, he is the orphaned boy of two powerful wizards and has unique magical powers.",IMDb 7.6,Fantasy·Adventure·Fantastic·Mysterious,2001,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/e3bf33a22908286509fbcb897eec8daee7b2f679e83530ad861eb86c5bfa9e9c._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0N8WYH0W6L7Q0ODHGQCHMMRH4R/ref=atv_br_def_r_br_c_unkc_1_3
3,Harry Potter and the Prisoner of Azkaban,"In Harry Potter and the Prisoner of Azkaban, Harry, Ron and Hermione return for their third year at Hogwarts, where they are forced to face escaped prisoner, Sirius Black.",IMDb 7.9,Fantasy·Adventure·Ambitious·Dreamlike,2004,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/57c1cbe46786505624f2f36c4e1aad59ce743aab58b55c8d14c0c9fae45177a6._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0HKBCOWZ6L75JX0GXBANJSQLIM/ref=atv_br_def_r_br_c_unkc_1_4
4,Harry Potter and the Deathly Hallows: Part 1,"In the first part of the seventh and final adventure, Harry, Ron and Hermione set out on their perilous mission to track down and destroy the secret to Voldemort's immortality and destruction.",IMDb 7.7,Suspense·Adventure·Ambitious·Fantastic,2010,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/6c817ff9c8c31cf6741b8b852f42faadf3a670009dcb6115dee38a9a0f1e063e._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0HX3L54E0HZB7QNWTYABW1DUPO/ref=atv_br_def_r_br_c_unkc_1_5
5,Harry Potter and the Order of the Phoenix,"Lord Voldemort has returned, but the Ministry of Magic is doing everything it can to keep the wizarding world from knowing the truth.",IMDb 7.5,Suspense·Fantasy·Ambitious·Downbeat,2007,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/45e7b5abdecc0437c200eb6ec9ee1698193bc8dffc0aaf759220d09ed94a3412._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0JGIGZRDFZI6JBPR2XLFQJPHU2/ref=atv_br_def_r_br_c_unkc_1_6
6,Harry Potter and the Deathly Hallows - Part 2,The motion picture event of the generation comes to a close in the second part of the final chapter in the monumental Harry Potter series.,IMDb 8.1,Suspense·Young Adult Audience·Ambitious·Fantastic,2011,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/f4a0d775a0b582cc61817049c875317cbb4da1407154e55a7ed878f68e3f6112._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0T61PEFBHQ9GWXQ6RJ2NB41579/ref=atv_br_def_r_br_c_unkc_1_7
7,Harry Potter and the Half-Blood Prince,Voldemort is tightening his grip on Hogwarts™ and it is no longer the safe haven it once was. Harry and Dumbledore work to find the key to unlock the Dark Lord’s defenses.,None,Suspense·Adventure·Atmospheric·Dark,2009,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/c4e9c21fdfa0a307a7b796e0082ce6a6d1e2300635d2a6bf1fabc7c114feb81b._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0TZVVH2RSQD0SA85R3EFS7R3V6/ref=atv_br_def_r_br_c_unkc_1_8
8,Harry Potter and the Goblet of Fire,"When Harry Potter's name emerges from the Goblet of Fire, he becomes a competitor in a grueling battle for glory among three wizarding schools - the Triwizard Tournament.",IMDb 7.7,Suspense·Fantasy·Compelling·Fantastic,2005,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/b6b65508287f4383de4702c4e38f2d361c84a6ac5b0cd9227d61427d1ff5deca._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0S7XYWXLBDNP77SIOXUQMIXXJT/ref=atv_br_def_r_br_c_unkc_1_9
9,Harry Potter and the Chamber of Secrets,"Harry returns to Hogwarts, still famous and a hero, when strange things start to happen... people are turning to stone and no-one knows what, or who, is doing it.",IMDb 7.4,Kids·Fantasy·Ambitious·Dreamlike,2003,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/e4a28d77a63a8ab2428114ee29650f152b87fef2dbfa07c8a16a5d4f747ae430._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0TEKHVKT7A569PK1IAL53VJEAC/ref=atv_br_def_r_br_c_unkc_1_10
