,title,disciption,Imdb_rating,genres,Released_date,image_url,video,webpage_url
0,Varisu (Hindi),"Vijay Rajendran is a happy to go lucky man. Things change when his father becomes terminally ill, and he is left to manage his business empire.",IMDb 6.1,Drama·Action·International,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/47860f700a373ef37961cb989a5137204699739bab5b0cd284f4cc40bd7a9ed0._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0GUKC2JE1MEJPV5S5LU2BQ2WVB/ref=atv_br_def_r_br_c_unkc_1_1
1,Pathaan,"Indian RAW agent “Pathaan” (Shah Rukh Khan) gets to know of a major impending attack against India, mounted by a mercenary group led by the ruthless enigma Jim (John Abraham), who has a history of his own. With the doomsday clock ticking away and an agent Rubai (Deepika Padukone) his only possible ally, Pathaan must fight countless betrayals and deal with destruction as he takes on Jim.",IMDb 6.0,Suspense·Action·Drama·Adventure,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/65ed493d49c3c69394c3348aa0c9c814ab7c2e88ba822efd9ac2afe4db17a926._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0FIVK55HUFIIADBSNC585CZFDP/ref=atv_br_def_r_br_c_unkc_1_2
2,Christopher,‘Christopher’ is the story of a vigilante cop who is forced to transgress the limits of law when the system fails. The movie travels with the protagonist in a narrative structure that is highly layered. He has a traumatic past which adds fuel to his fury throughout the story. Every act by him is a critique on the law enforcement system and sends out a message to correct the society.,IMDb 6.2,Drama·Suspense·International·Action,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/9362733f672c55ac163ef13fe7553db743e4e7748be02b618f94cc47d4de2b1c._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0GSDEM0SMSZZYB0O7F67REPQSR/ref=atv_br_def_r_br_c_unkc_1_3
3,Drishyam 2 (Hindi),"Seven years after the case related to Vijay and his family was closed, a series of unexpected events brings a truth to light that threatens to change everything for the Salgaonkars.",IMDb 8.2,Suspense·Drama·International,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/3ab0aae5c848684a714dd29c3eaa941232b36f0633f63c9a9798ed2ce79f2454._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0HNZIYOI76383DKI61QMTROL4K/ref=atv_br_def_r_br_c_unkc_1_4
4,Ram Setu,"An atheist archaeologist turned believer must race against time to prove the true existence of the legendary Ram Setu before evil forces destroy the pillar of India’s heritage. An action adventure with a strong serving of twists and turns, ‘Ram Setu’ promises to keep the viewer engaged and entertained, making it the perfect festive film to be enjoyed with the entire family.",IMDb 5.2,Adventure·Action,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/475f97c10e1ce29531a50a3cc1b25397661df51b40936d9defd27b5d1cc3dc01._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0IP8XHT2M4ZBJ6OW6DY6HIO33M/ref=atv_br_def_r_br_c_unkc_1_5
5,Pushpa: The Rise (Hindi),"Pushpa Raj (Allu Arjun) a coolie, volunteers to smuggle red sanders, a rare wood that only grows in Andhra, with the help of novel ideas to smuggle the red sanders. Pushpa quickly becomes leader of red sanders smuggling network. While Pushpa is at his prime, a ruthless police officer Bhanwar Singh Shekhawat (Fahadh Faasil) takes charge as SP and ridicules Pushpa for his lineage.",IMDb 7.6,International·Adventure·Action·Suspense,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/79ce0e77d557c1cf37684e65fa3ece21bdc68a3d9c24dfabf68d1ee913a7af4e._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0QH32UG7NRSFRGZT78NFD6KED7/ref=atv_br_def_r_br_c_unkc_1_6
6,K.G.F Chapter 2 (Hindi),"Vijendra Ingalgi, Son of Anand Ingalgi continues the story of KGF and Rocky in Chapter 2. Rocky survives the attack by Vanaram’s guards after killing Garuda. He is a hero and a saviour to the people of Narachi. While trying to fulfil his promise to his mother, he must face many obstacles in the form of Adheera, Inayat Khalil and Ramika sen.",None,Action·Drama·International,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/49d679a2183c1faa41805762e8d1b709b590397aa80af64ca013adbcdfb4c34b._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0OLFV66669RCQ9BSC7YCWOZA6S/ref=atv_br_def_r_br_c_unkc_1_7
7,Ponniyin Selvan Part 1 (Hindi),"969 AD, The Chola Empire- A period of conspiracies, mysteries, political turmoil and impending war as Pandiya rebels take an oath to spill royal blood and Chola chieftains plan a mutiny. Will the next king be the wild prince Aditya Karikalan, the hermit prince Arunmozhi Varman, their estranged uncle Madhuranthakan or the Pandiya rebel Amarabujanga?",IMDb 7.7,Historical·Adventure·International·Fantasy,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/79f462c4903f1b58bcb264d6cd7d82b2adc479cbad8c84ee51f1256f93e1bf84._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0N0VRKCHYKXDHEV50D8IZF3LFU/ref=atv_br_def_r_br_c_unkc_1_8
8,Thank God,"An egoistic real estate broker in huge debts meets with an accident. As he gains consciousness, he realizes that he is in a game show. CG appears in front of him and informs him that he will have to play a “GAME OF LIFE”.",IMDb 5.6,Comedy·Drama·International·Fantasy,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/f23f76bb983c619ea2e3293ced23546ed593846fa322b6472b41ee8e6c82ab8c._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0R36EFFNE3NAX3JD5LVCL2PVWW/ref=atv_br_def_r_br_c_unkc_1_9
9,Sultan,"Sultan is a classic underdog tale about a wrestler's journey, looking for a comeback by defeating all odds staked up against him. But when he has nothing to lose and everything to gain in this fight for his life match, he must literally fight for his life. Sultan believes he’s got what it takes, but this time, it’s going to take everything he’s got.",IMDb 7.0,International·Drama·Inspiring·Passionate,2016,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/b7228395a75742f7d5d23943576c875f340acb407e2f099ef868736e9649dc8e._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0RZEG1T2RQ0MVN1NC9SOV322G0/ref=atv_br_def_r_br_c_unkc_1_10
