,title,disciption,Imdb_rating,genres,Released_date,image_url,video,webpage_url
0,Smile,"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter (Sosie Bacon) starts experiencing frightening occurrences that she can't explain. As an overwhelming terror begins taking over her life, Rose must confront her troubling past in order to survive and escape her horrifying new reality.",IMDb 6.5,Suspense·Horror,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/8504d29eecac44a05319189ffd87cc6c3bc9e36bb10b0c3cecc5387fe9566b20._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0KF15RP03LOCHLXIVU0MITD6KU/ref=atv_br_def_r_br_c_unkc_1_1
1,Phone Bhoot,"Two crazy, jobless, horror-film addicts Major and Gullu, under immense family pressure to find work, hit upon the idea to float a unique ghost-capturing service when they meet a e spirit, Ragini, who makes their business a success but in return asks them for a favour which they are compelled to honour.",IMDb 5.3,Horror·International·Comedy,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/ff546b450c279892006ce10ad088344ad2416459321765c09e7d9591d949c0da._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0Q4AC6SKJX7EY2GHJFHLZMQ1XZ/ref=atv_br_def_r_br_c_unkc_1_2
2,The Lair,"Shot down over one of the most dangerous rebel strongholds in Afghanistan, a Royal Air Force pilot discovers an abandoned Soviet Research Facility concealed in the remote hills. She finds refuge in an underground bunker where deadly man-made biological weapons - half human, half alien and hungry for human flesh are awakened as she watches the creatures rip apart the men pursuing her.",IMDb 4.5,Horror·Action,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/0f211c01bfba57031185d3c839f1d201a408da5fc6bdd77a2f54a692879acfc1._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0OUGRSCVMMK2NWFO4NMCY947UP/ref=atv_br_def_r_br_c_unkc_1_3
3,Victoria - Ek Rahasya,"When Ankita and Siddharth arrive at Hotel Victoria, Scotland, they quickly realise that the creepy owner, Adhiraaj, has more than a few secrets, and Ankita can't help but sense another sinister presence inside the old hotel. Is there a vengeful spirit wandering the hotel, or is it all in their heads? What follows is a race against time as the mystery is unravelled, and nothing is as it seems.",IMDb 6.5,Suspense·Horror,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/62d1aa96a0e4518e1af23fbd78a1419fe083f482da400dc181c7a04e5f584e19._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0MRFAHMLDZQW94U652X1767ARX/ref=atv_br_def_r_br_c_unkc_1_4
4,Train To Busan,"While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan.",IMDb 7.6,Suspense·Horror·Terrifying·Thrilling,2016,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/799f3b3532f9f2371f241da73f7ebdc7246f4bf25988598818b7f761f2bf37cf._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0FBFD2JO6XZG7RFMU2OPSGE0FW/ref=atv_br_def_r_br_c_unkc_1_5
5,The Nun,"When a Romanian nun takes her own life, a priest with a haunted past and a novitiate are sent by the Vatican to investigate. Together, they uncover the order's unholy secret – risking not only their lives but their faith and their very souls.",IMDb 5.3,Suspense·Horror·Bleak·Eerie,2018,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/dd9ccfb20c5cc92787f9d20f35b8a75a47156aa5996b6c2c4f2eaaed9fb88a31._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0JKTXZ7L1X19L4UQ7KDX3A6L6H/ref=atv_br_def_r_br_c_unkc_1_6
6,Tumbbad,"In the rural village of Tumbbad, a decaying castle hides an immeasurable ancestral fortune guarded by something ancient, sinister, and monstrous. Vinayak thinks he can control it, but how long will it be until his own greed destroys everything he’s built?",IMDb 8.2,Suspense·Horror·Atmospheric·Eerie,2018,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/19f9f3a475a4747a5faebc00d313e625182496f8d86e8ecc4ed8fb760adbe8ce._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0JP2YUWYYUI1Q2NN73XBXXXC2T/ref=atv_br_def_r_br_c_unkc_1_7
7,Annabelle Comes Home,"Determined to keep Annabelle from wreaking more havoc, demonologists Ed and Lorraine Warren bring the possessed doll to the locked artifacts room in their home, placing her ""safely"" behind sacred glass and enlisting a priest's holy blessing. But an unholy night of horror awaits as Annabelle awakens the evil spirits in the room, who all set their sights on a new target-the Warrens' ten year- old...",IMDb 5.9,Suspense·Horror·Dark·Eerie,2019,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/66851b53c6dcf35a58ea0ac4dbb3e4c75e793c40576eed170c6c977c4a3bd3d6._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0N0H2EL7ZDU2U5XGA220OI2C0L/ref=atv_br_def_r_br_c_unkc_1_8
8,The Conjuring 2,Renowned demonologists Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by malicious spirits.,IMDb 7.3,Suspense·Horror·Eerie·Ominous,2016,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/4bd963760c9829d5843c1ff39d004a096ac82ccfc55f96751cfbc88cd376ff7f._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0F71T3M8EZ4GK92TSV8VJYRS4A/ref=atv_br_def_r_br_c_unkc_1_9
9,Escape Room,Six strangers find themselves in circumstances beyond their control and must use their wits to find the clues or die.,IMDb 6.4,Suspense·Science Fiction·Cerebral·Eerie,2019,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/f215ff063814eeddefeda5314a9adae01a674ab8fb7d7e5e752e26fcc5a187e9._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0JGKMSCFA73H8Q7D5KI891RTS2/ref=atv_br_def_r_br_c_unkc_1_10
