,title,disciption,Imdb_rating,genres,Released_date,image_url,video,webpage_url
0,Gandhada Gudi,"Intending to return the love and affection showered unconditionally on him, Dr. Puneeth Rajkumar, a mega superstar lovingly known as Appu, sheds his stardom and sets out on an epic journey to explore the marvels of his land. This feature film is an immersive cinematic experience of a true hero, a fascinating journey that he intended to share with the world and make them a part of it.",IMDb 9.1,Drama·Documentary·International·Adventure,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/1cfbb2dc604d08a3f005755f569de973e55a0adcae8c9b5af999fb2c6e7fca24._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0SZXSUQZL51Z6RI01Q2KEKVX33/ref=atv_br_def_r_br_c_unkc_1_1
1,Love Birds,"Couples today come from different backgrounds and have independent lifestyles. But their independence leads to friction between them, what will keep them together?",IMDb 5.4,International·Drama·Romance,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/2a7f231d617ad220e83f6caf8f76ed8980910db0440580200333b795b2f393d6._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0RMYLULVR8F9ZBB6BH7UIVAUUF/ref=atv_br_def_r_br_c_unkc_1_2
2,Vaarasdara,"Vijay, the prodigal son of business tycoon Rajendran agrees to take over the reins of the business, much to the chagrin of his brothers. But can Vijay prove himself to be a worthy varisu and also reunite his now-broken family? This movie is also available as Varisu (Tamil), Vaarasudu (Telugu) and Vamshajan (Malayalam)",IMDb 6.1,Drama·International·Action,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/d690b037ee32c693d4d3bb90d9ec1f52d2cda97ff1b82d3d154eda2664a98d3e._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0I3XXRB8EGPHHRNCAQN7147IXX/ref=atv_br_def_r_br_c_unkc_1_3
3,Dr56,"Priya Krishna (Priyamani), a CBI officer, comes to the City for a murder investigation of a mystery case of three neurosurgeons. Arjun is a theater artist who is suffering from an illness and has to take a pill every 56 minutes.  Priya finds Arjun to be a suspect after going through the CCTV footage. It is quite an enjoyable murder mystery that will find welcome by the faithful of that genre.",IMDb 7.6,Suspense·Science Fiction·Action,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/4eeeedfbaaceceec051580dbeacaa274a6c92fe7a0359c0a6e24754f38b17f38._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0T0PT42YMSHJCZMOZ6P1RWVP8W/ref=atv_br_def_r_br_c_unkc_1_4
4,Hondisi Bareyiri,"A story of a bunch of college friends who reunite after many years. It focuses on their college life, leading to the responsibilities of adulthood and their struggle to find solace amidst their complex relationships.",IMDb 7.5,Comedy·Drama,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/da8b744ccd7f9714dab1e36e372674b585bf5133377fb85a19b3d4bbc10bce8f._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0H9IREF9AZMGPWLXPXBV7YG4Q2/ref=atv_br_def_r_br_c_unkc_1_5
5,K.G.F Chapter 2 (Kannada),"Vijendra Ingalgi, Son of Anand Ingalgi continues the story of KGF and Rocky in Chapter 2. Rocky survives the attack by Vanaram’s guards after killing Garuda. He is a hero and a saviour to the people of Narachi. While trying to fulfil his promise to his mother, he must face many obstacles in the form of Adheera, Inayat Khalil and Ramika sen.",IMDb 8.3,Action·International·Drama,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/49d679a2183c1faa41805762e8d1b709b590397aa80af64ca013adbcdfb4c34b._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0TAARXHU6YZR574455ZKCKYSOC/ref=atv_br_def_r_br_c_unkc_1_6
6,Triple Riding,"Tribble Riding offers plenty of romance, fun and a bit of action, making it a thorough commercial entertainer. The story begins with a doctor, Raam, who uses various tricks to draw the attention of Rakshitha who also falls in love with him. However, Rakshitha's father wants her to get married to the son of a rich MLA.",IMDb 4.8,Suspense·Comedy·International·Romance,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/a4f7add893aadf5ffef650e6722dbe4b81ce769becef53460b136e52453d4d53._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0Q13CPSYU48QEG4VYYZ552WP6A/ref=atv_br_def_r_br_c_unkc_1_7
7,Vasantha Kokila (Kannada),"Rudhran, who works tirelessly for a successful career and money, embarks on a romantic journey to spend quality time with his girlfriend Nila. On the way, he stays at the Vasantha Mullai Motel. The events that unfold in a single night drive Rudhran insane and take him on a roller coaster ride.",IMDb 6.8,Suspense·Drama,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/33edee81517389c2565aaa83eebcb1babf5971d5859473e5547cb3966d0237cd._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0HW7PY4FKOUVOT9XJ1IJQ5IZKD/ref=atv_br_def_r_br_c_unkc_1_8
8,Garuda,"Garuda revolves around the efforts of Vikram, a man on a mission to capture an evil mastermind who destroyed his family and is also a threat to the country.",IMDb 7.8,Drama·Action·International,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/a1fb58549c431cdb1a5770f80a46033e1c705b53ed346d0288f46139dedb35d4._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0FTJ8HZGS3HM50AJ2K39GDSB41/ref=atv_br_def_r_br_c_unkc_1_9
9,Made in Bengaluru,"Jammed in between dreams, desperation and a twist of fate, the sporty startup founder Suhas emerges out of an urban mess by discovering the motherly charm of the old city which he had taken for granted all the while. Wacky Investors, gangsters, cricket aficionados, founders with fancy airs and crooks life lessons, inspiration, rootedness and most importantly, eternal hope makes this film.",IMDb 8.0,Drama·Faith and Spirituality,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/0c0ad660f06d4cbdfca386499572b1498dd6b23853e14391a1a2db2dd0d65ecf._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0JK4YVTPD936GNDGRPYWTM93IO/ref=atv_br_def_r_br_c_unkc_1_10
