,title,disciption,Imdb_rating,genres,Released_date,image_url,video,webpage_url
0,Maheshum Marutiyum,"In 1983, Mahesh's father Padmanabhan, who was working in Delhi, returned to his hometown of Churuhonni Thirut, surrounded by water on all four sides, with a new Maruti car.(That Maruti 800 was an iconic car). From there the emotional connection with the car and the hero (Mahesh) reaches a new dimension. Whatever happens in Mahesh's life, Maruti Cars has a significant role to play.",IMDb 5.4,Comedy·Romance,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/a5965cbe8b3d360b0f1bccff59e4978197b58fc9ae3ac6fab2c9f703403d7131._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0Q8V31D6C6MRM3XW8P4T9I6O6W/ref=atv_br_def_r_br_c_unkc_1_1
1,Ela Veezha Poonchira,"The story is set in Elaveezhapoonchira a scenic hilltop in Kerala's Kottayam province located 3200 feet above sea level. Sudhi and Madhu are police officers at a small wireless police station on the hilltop. Amidst the heavy monsoon, they receive word that a womans body parts have been scattered all over Elaveezhapoonchira. Will they solve the mystery",IMDb 7.2,Suspense·Drama,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/dbd83bc1d5bd8dbefc89dcccd4fcdb994f9643dd6a11b874f1f68918795ca162._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0FCWWK4GYJYW3VNPGBAQOE5IVR/ref=atv_br_def_r_br_c_unkc_1_2
2,Thankam,"""Muthu and Kannan are Gold Agents from Thrissur, the Gold Capital of India.The movie portrays their travel to Mumbai to distribute gold and the following mishaps they face on their journey.""",IMDb 7.2,Drama·International,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/c8d2dae3595d6f80b58cc6600dfcf5a522bc767a4d0e413181df4f68b6935e76._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0N5IMGRVO6NMLPWWJ0QTPJC86H/ref=atv_br_def_r_br_c_unkc_1_3
3,Varayan,Kalippakara as the name signifies is a small island village populated by ferocious individuals it's own laws and ways. Outsiders especially policemen have little chance of gaining entry let alone survive in this village. This story is about how Abychen navigates between the two sides with his characteristic smile and love.,IMDb 5.5,Drama·Action,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/b5fb9a4e8b4346432a39372065e1b56370da3e284bea3e3394b9a401f747739f._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0NKJGAD38GVMJ4SFN84U4FS811/ref=atv_br_def_r_br_c_unkc_1_4
4,Adrishyam,"A drama-thriller film. Concurrent misfortunes of a murder, a kidnapping, and an accident induce unrelated teams to investigate with contradictory leads. The climax unravels the truth behind these incidents. The anticipated suspense keeps the viewer at the edge during the entire process of the investigation",IMDb 5.2,Suspense·International·Drama,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/6f1314099df19f7a095cbe4cafba7a048a210ee7f8f5978a669789f713a1e079._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0HSI2ABNW79VWU3EI4B20EWJ6K/ref=atv_br_def_r_br_c_unkc_1_5
5,Ennalum Nteliyaa,"Ennalum Nteliyaa tells the story about two immigrant families who square up because of some misunderstandings about the romantic relationship between Vivek, Lakshmi’s nephew and Ismi, Kareem and Sulu’s daughter.",IMDb 5.5,Comedy·International,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/25abbcaf2ca7236d7b1974a4cdbd78d9f577724e423acba5e1287f3fcef3f386._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0HRKZEWUMCDCQE6VMN4BS38QVN/ref=atv_br_def_r_br_c_unkc_1_6
6,Vamshajan,"Vijay, the prodigal son of business tycoon Rajendran agrees to take over the reins of the business, much to the chagrin of his brothers. But can Vijay prove himself to be a worthy varisu and also reunite his now-broken family? This movie is also available as Varisu (Tamil), Vaarasudu (Telugu) and Vaarasdara (Kannada)",IMDb 6.1,Drama·International·Action,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/7c86c7762da25217cc6358834b53a1f96de24f23e2445d0626089899863fae21._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0J99ZA1CGSZOMQW0L01RUZ6M8M/ref=atv_br_def_r_br_c_unkc_1_7
7,The Great Indian Kitchen,"Like any Indian girl, the bride of the 'The Great Indian Kitchen' moves into her husband's house prepared to adapt to their customs and make it her home. Her husband and his parents do love and care for her. But problems arise when her kind mother-in-law has to be away. She struggles to cope with the mountain of seemingly endless household chores, differences in opinion and unfamiliar traditions.",IMDb 8.2,Drama·International,2021,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/699761fc0f09a7c017cc96bac08a5beac9832b9cf7932af71d98232894e2a2d1._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0LPM9D6PWOSCEAUBEXO10YKQBB/ref=atv_br_def_r_br_c_unkc_1_8
8,Kaduva,"Joseph Chandy (Vivek Oberoi) an IPS officer and Kuriyachan (Prithviraj Sukumaran) a very rich plantation owner in Pala, Kottayam are at loggerheads over some issues that arise between the two of them. They continue to seek revenge on each other at every opportunity they get until one day they decide to fight it out, face to face at the church’s annual festival.",IMDb 6.1,Suspense·Drama·Action·International,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/ceed510ff307c85e50cded367d4e9ad10497ae83887f558cf0796ca62edf18dd._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0K0YSZJX9BFZRH2PJ8Q39AV7U3/ref=atv_br_def_r_br_c_unkc_1_9
9,Gold (Malayalam),"The story unravels between the incidents that take place within four days of Joshi, a mobile shop owner, purchasing a new car owing to a marriage alliance that is almost fixed with Radha.",IMDb 4.6,Suspense·Comedy·International·Drama,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/a1a712f717fed295c2d76d332fa4a5eb008274f64f1819ebf17c49af56156fab._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0SYRX8YF6AG4VHAIWUBQF7WJU4/ref=atv_br_def_r_br_c_unkc_1_10
