,title,disciption,Imdb_rating,genres,Released_date,image_url,video,webpage_url
0,Rab Ne Bana Di Jodi,"This is a story of Surinder Sahni (Shahrukh Khan) - a simple, clean hearted, honest man, leading a humdrum life, when he meets his total opposite and finds love in the flamboyant, fun-loving, vivacious - Taani (Anushka Sharma). What follows is a journey filled with laughter, tears, joy, pain, music, dance...that makes us believe that there is an extraordinary love story in every ordinary couple.",IMDb 7.2,"Comedy·Arts, Entertainment, and Culture·Joyous·Passionate",2008,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/4596f1cf3ab0e57be131a7bdce52b8436e70c4c7f5d900b65edd255b675a4302._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0I9V8J7ULXMS79SCYQS7FN0JS3/ref=atv_br_def_r_br_c_unkc_1_1
1,Ae Dil Hai Mushkil,"In this romantic drama, a popular singer Ayan Senger (Ranbir Kapoor) recounts his turbulent relationship with Alizeh Khan (Anushka Sharma) during an interview based on the love of his life. He reminisces about their chance meeting in London, their troubled, unrequited love, his personal growth over the years and how this relationship shaped his destiny.",IMDb 5.8,Romance·International·Emotional·Gentle,2016,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/be44f38f582015fba682760d53f1f1fb540865e9285d7745a2076f3f29bcca50._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0P9D7JMQ1NDU3P9V32JI39DJAI/ref=atv_br_def_r_br_c_unkc_1_2
2,Gully Boy,India's official entry to the 2019 Academy awards. A coming-of-age story based on the lives of street rappers in Mumbai.,IMDb 7.9,Drama·International·Inspiring·Emotional,2019,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/db8c91eafd64ee672a03c6318791d5cb2eacf7b9c1a1d9770db5ed88d38f1270._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0I5OF8K1O8JNLUPOQ3VU3MBR5I/ref=atv_br_def_r_br_c_unkc_1_3
3,None,"On Guava Island, a local musician is determined to throw a festival for everyone to enjoy. A tropical thriller starring Donald Glover and Rihanna.",IMDb 6.6,Suspense·Drama·Cerebral·Tense,2019,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/c1c6c3dc800f8a92dfca243d2faf3936b7a737137f756c33feb7c1082a05810d._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0MRX5JGS7TX6RKG1WHSDU9BYAL/ref=atv_br_def_r_br_c_unkc_1_4
4,Loveyatri - The Journey of Love,"Loveyatri is a contemporary love story of Sushrut and Michelle, which revolves around the festival of Navratri. Sushrut and Michelle’s blossoming relationship hits a deadlock and she travels back to UK. Sushrut travels to the UK, to win back his love. it is a musical roller coaster ride of friendship, family, love and relationships culminating with a lot of colour, lights and festivities.",IMDb 3.3,Drama·International·Romance·Fun,2018,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/b9bc448a4b4a6ef06cb2d49eab27723453ab39167ffc87b848d203ac5c1b30ae._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0MF4D57QDNKD3PPAWNE0AN42Z5/ref=atv_br_def_r_br_c_unkc_1_5
5,Fanney Khan,Fanney Khan is a struggling singer who wants to make his daughter a big name in music world.,IMDb 4.5,Comedy·Drama·Feel-good·Fun,2018,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/f12e3dceba43e2ea384ae0619e4a6c7512d17c10729f6f21db7ae7d3c55e30f3._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0IE6T3M2TXWG6JT6KO5ULCPBHQ/ref=atv_br_def_r_br_c_unkc_1_6
6,Alvin and the Chipmunks: Road Chip,"Through a series of misunderstandings, Alvin, Simon and Theodore come to believe that Dave is going to propose to his new girlfriend in New York City...and dump them. They have three days to get to him and stop the proposal, saving themselves not only from losing Dave but possibly from gaining a terrible stepbrother.",IMDb 4.9,Comedy·Animation·Charming·Easygoing,2016,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/0f7e43a5e3ce13738efa2ff1032d8902db98db646dcee3d2e098aab491c1f396._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0IQZGQCXTHENSFB9YAUXN3HQ44/ref=atv_br_def_r_br_c_unkc_1_7
7,None,"Mat Whitecross’s new documentary, ""The Sound of 007"" reveals the history of the Bond music, from the genesis of 1962’s ""Dr. No"" with its iconic theme, through to Billie Eilish’s Academy Award®-winning song for 2021’s ""No Time To Die.""",IMDb 7.4,Documentary·Music Videos and Concerts,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/ff9c633b7f1d825427e22a2ed155d41a3eb9ad7abec4469d781592a901676063._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0S214U3ZOC5KYQAOIU5KLLC9UK/ref=atv_br_def_r_br_c_unkc_1_8
8,Pitch Perfect 2,A group of women enter an international a cappella competition which no American team has ever won.,IMDb 6.4,Comedy·Music Videos and Concerts·Charming·Feel-good,2015,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/149e467f1e790b9fcae5c28c9746e322f354db35f0332e662ac250f9fbddd004._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0KYAIYZCOPJMRBHUTSVRIQIPFX/ref=atv_br_def_r_br_c_unkc_1_9
9,Lafangey Parindey,"When Pinky (Deepika Padukone), a girl from the slums, loses her eyesight in an accident, she doesn’t lose her will and determination. Nandu (Neil Nitin Mukesh), an underground boxing champ, decides to teach her how to see without eyes and help her roller skate her way to success. An intriguing journey of a blindfolded street fighter and a blind dancer who set out to achieve the impossible.",IMDb 5.2,"Drama·Sports·Arts, Entertainment, and Culture·International",2010,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/23c46d93502918b69611f6f2bb7777e13b7c67411d36ceed08a3aea89004bd29._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0OB9BN3ZX1GFN30ICJA6CJ3C8V/ref=atv_br_def_r_br_c_unkc_1_10
