,title,disciption,Imdb_rating,genres,Released_date,image_url,video,webpage_url
0,Kanjoos Majnu Kharchili Laila,A misery young man who falls in love with a middle-class girl who wishes to enjoy all the finer things in life and has big dreams of a high-flying and jet-setting lifestyle.,IMDb 5.0,Comedy·Drama,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/79b80dda471f1aaf50afba5d8fd73ed3025968d1e5e475edb43bb22593c56e9c._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0SH8TM23MQ5BK2NPOPLMIJPHAV/ref=atv_br_def_r_br_c_unkc_1_1
1,Saunkan Saunkne,"Nirmal and Naseeb are happily married couple. Even after 8 years of marriage they don’t have child. On suggestion of her mother-in-law, Naseeb persuades Nirmal to have a second marriage with her younger sister Kirna. Sharing her husband proves to be a difficult task for Naseeb. And this begins the squabbles between the two wives which lead to comic situation.",IMDb 6.1,Comedy·Drama·International·Romance,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/265fc77f2f47ce17fba413c44b335080b3efc8e64ebcc8bd1fcc0415a3aa8f43._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0L4L7OY9U7HM4PTK7VBJHD0CXK/ref=atv_br_def_r_br_c_unkc_1_2
2,Yaar Mera Titliaan Warga,"Yaar Mera Titliaan Warga is the story of a Couple who, after 6 years of marriage, are bored from each other. To spicy things up, both of them open fake Facebook accounts. But things go sideways when, accidentally, they befriend each other on FB. This ""Comedy of Errors"" take them on a humorous as well as emotional ride.",IMDb 5.7,Comedy·Drama·International,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/2197b0db92ae31544ea7545d9361725d341f05eb4e803c97c8063082442fb005._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0KLI3A6C0DJTHUVXQCGEJ8HZ7T/ref=atv_br_def_r_br_c_unkc_1_3
3,SHER BAGGA,"When Shera starts to embark on a journey to get love of his life, he encounters Gulab on the way. She manipulates her way to get her things done through Shera. Gulab falls for Shera but he is there to meet his girlfriend. What will happen when they meet again?",IMDb 5.2,Comedy·International,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/4b9ac516a7d687ce9991dd6943760dac42d3b4a7fffd9a4931a23a80492e81d6._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0GPZH334OKITNWKK4L3EF3XIUF/ref=atv_br_def_r_br_c_unkc_1_4
4,Bajre Da Sitta,"This is the story of two sisters Roop Kaur & Basant Kaur who are born in Zimidaar's family. After Bhagel Singh listens to both sisters singing, he seeks permission from their father to get them to sing for his company. He agrees on the condition that their identity should remain hidden.",IMDb 6.9,Drama,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/eea54df28ad8e09ccbf464586bf621f10226d5215dc8728a45ac3f215856e1b0._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0FEMJ3UZD4ZCT2JC6FFT8SIVMU/ref=atv_br_def_r_br_c_unkc_1_5
5,Honsla Rakh,"What happens when a single father with his son attempts to find love and a mom for his son, crosses paths with his ex who returns to the city after a long gap? Honsla Rakh, starring Diljit Dosanjh, Sonam Bajwa, Shehnaaz Gill & Shinda Grewal is a romantic comedy that has warmth at its center and deals with the emotional bonds between father and child, and love between men and women in modern times.",IMDb 7.3,Comedy·Drama·International·Romance,2021,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/95a0d03a06d4f5d8fc11c609ee2d08d708117a74228fcf7137875a489fef8f1b._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0K30TVXNM4P9KPENX3E5GX72KA/ref=atv_br_def_r_br_c_unkc_1_6
6,Nikka Zaildar 3,The film chronicles the story of Nikka whose father's soul enters his body following his death.,IMDb 4.1,Comedy·International,2019,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/81fd4f0121548131a9b690d7e46ea48e35fb8504889dadbc1840e4f5bfc0dbc3._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0T646OX926YJGK0QMLMVTC6MUY/ref=atv_br_def_r_br_c_unkc_1_7
7,Chal Mera Putt,"A lighthearted comedy about a group of illegal Punjabi immigrants living in the City of Birmingham trying to better their lives. Chal Mera Putt explores the struggles they face, the lasting friendships they make and the challenges they over come all whilst trying to get their PR.",IMDb 7.6,Comedy·Drama·International·Fun,2019,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/6616d31121bbf7ee566fe54500a27e1e3745c5d7d4795e30ae35eb9b6a4b438f._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0PDPOS42MH49808D23SCQBZ0K1/ref=atv_br_def_r_br_c_unkc_1_8
8,Shadaa,"Amidst pressures from his parents to hurry up and wed, a young man seeks his perfect match. After many failed attempts with matchmakers, his parents are delighted when their son finally meets the woman of his dreams but things do not go as planned.",IMDb 6.2,Comedy·Drama·Joyous·Passionate,2019,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/db1035e5a251fdbf45b0eb966e9349308603da7479e6f61a1292332b63bf9635._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0JTD3RB41T4IP8FHYNY3V4280V/ref=atv_br_def_r_br_c_unkc_1_9
9,Sufna,"Sufna, Dream, there is saying that, “dream is not, which you have while sleeping, dream is the one, which doesn’t let you sleep. This is story about that kind of dream. How a young man from very humble background achieve, what he aims for, and in this journey how a young girl from humble background only, become his back bone, become his strength and motivational source.",None,Comedy·International·Feel-good·Fun,2020,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/24ef95992f012afeccfabd65c3563fc715a799aaf0127f71a600e571d45dc88d._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0GDRQEQRMGORJ59ELDD3I468PG/ref=atv_br_def_r_br_c_unkc_1_10
