,title,disciption,Imdb_rating,genres,Released_date,image_url,video,webpage_url
0,Dada,"Manikandan and Sindhu are in love and accidentally becomes teenage parents. They face obstacles and situations to bring up their son, Adithya.",IMDb 8.2,International·Drama·Romance,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/e3df8767b35ac8b8811aa766b868a90e32a713cbc219cf36bf044cc51932a3f6._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0R217Y1Q451WCBPMHE8BA2SKPJ/ref=atv_br_def_r_br_c_unkc_1_1
1,Maheshum Marutiyum,"In 1983, Mahesh's father Padmanabhan, who was working in Delhi, returned to his hometown of Churuhonni Thirut, surrounded by water on all four sides, with a new Maruti car.(That Maruti 800 was an iconic car). From there the emotional connection with the car and the hero (Mahesh) reaches a new dimension. Whatever happens in Mahesh's life, Maruti Cars has a significant role to play.",IMDb 5.4,Comedy·Romance,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/a5965cbe8b3d360b0f1bccff59e4978197b58fc9ae3ac6fab2c9f703403d7131._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0Q8V31D6C6MRM3XW8P4T9I6O6W/ref=atv_br_def_r_br_c_unkc_1_2
2,Sita Ramam,"Afreen, a rebellious Pakistani student sets ablaze the car of an Indian in London. Refused to apologize, Afreen is asked to return 1 Million in 1 month. Angered Afreen comes back to Pakistan to get the money from her grandfather. The late grandfather assigns a letter delivering task to Afreen, written by Ram to Sita. Afreen sets out to find Ram and gradually unveils the story of Sita and Ram.",IMDb 8.6,Action·Drama·International·Romance,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/2401cf4d180e85caaadc4295c9e9d70488b6869fda52bfbb6cc2530ca174537f._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0G2G9F9BZAJUW8XZ2RQ5N3MRBS/ref=atv_br_def_r_br_c_unkc_1_3
3,Love Birds,"Couples today come from different backgrounds and have independent lifestyles. But their independence leads to friction between them, what will keep them together?",IMDb 5.4,International·Drama·Romance,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/2a7f231d617ad220e83f6caf8f76ed8980910db0440580200333b795b2f393d6._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0RMYLULVR8F9ZBB6BH7UIVAUUF/ref=atv_br_def_r_br_c_unkc_1_4
4,Padmaavat,"Set in 1303 AD medieval India, Padmaavat is the story of honor, valor and obsession. Queen Padmavati is known for her exceptional beauty along with a strong sense of justice and is the wife of Maharawal Ratan Singh and pride of the Kingdom of Chittor, a prosperous kingdom in the north west of India. The legend of her beauty reaches the reigning sultan of Hindustan – Allaudin Khilji.",IMDb 7.0,Romance·International·Ambitious·Emotional,2018,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/f896e234c1fa1b4c7b9391b3a56863b5519e82758052cf287074a5c8f42a3f5b._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0LCQGVFVLNI8MOOGAT6T4611H2/ref=atv_br_def_r_br_c_unkc_1_5
5,Sonu Ke Titu Ki Sweety,"Sonu and Titu are childhood friends. Titu has always been a naive lover, who falls in love easily and Sonu has always had to step in to save him. But Sweety is the perfect bride and Titu is head over heels in love with her. Sonu's instinct to protect Titu at whatever cost, makes him feel that she's too good to be true.",IMDb 7.1,Comedy·International·Emotional·Joyous,2018,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/7c422ea2593c42ab2135eb2018f0adf612b4b869f9c7981ce35da40fcb4d7fe8._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0N0EXSVCF16I1DIFSE16VHEXM0/ref=atv_br_def_r_br_c_unkc_1_6
6,Dilwale Dulhania Le Jayenge,"When Raj (Shahrukh Khan) & Simran (Kajol) first met on an inter-rail holiday in Europe, it wasn’t exactly Love at first sight but when Simran is taken back to India for an arranged marriage, things change. Encouraged by his father Dharamvir (Anupam Kher), Raj decides to fly down from London to not just win his Bride but her whole family and the blessings of her father Baldev Singh (Amrish Puri).",None,Romance·International·Gentle·Passionate,1995,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/2cb055aedbfe9cd4e077486b4a4dd03de2167c7de15da8a37efcf5c1e730b335._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0FWM6LXBGLJP0XQDQYPI9H4PMH/ref=atv_br_def_r_br_c_unkc_1_7
7,One Night Stand,A married man becomes infatuated with a woman who he has a one-night stand with after meeting her on a business trip. His obsession with his mistress threatens to uproot his marriage and everyday life.,IMDb 3.1,International·Drama·Bleak·Passionate,2016,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/dafc1c2c65968fddac6ecd16ff19b3d9b9ef0c0ddd3c2aa7ef9227a453fb5a6b._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0R1DH7221J6EZWITC0PSK6EMFJ/ref=atv_br_def_r_br_c_unkc_1_8
8,Jab We Met,"The adversities of Aditya's business and love life bring him on the verge of committing suicide. One day, wandering aimlessly, he boards a train and bumps into Geet, a lively and talkative Punjabi Sikh girl, and just like that, without any inkling, Aditya's life changes forever.",IMDb 7.9,Comedy·Drama·Gentle·Passionate,2007,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/0e3da645e07ccd1028d50d9a7ce5ef3189ba8aa7b3838b154be35b50542de7b6._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0IZIGS3J12SA8YI4UQQT2OS4WY/ref=atv_br_def_r_br_c_unkc_1_9
9,Zindagi Na Milegi Dobara,"The story about three old friends, Kabir (Abhay Deol), Arjun (Hrithik Roshan) and Imraan (Farhan Akhtar), reuniting after many years for a bachelor party trip before Kabir gets married. The trip changes their perception about life with many unforgettable experiences which include Laila (Katrina Kaif) and a lot of self-realisation. Watch the thrilling experience which teaches a lot about life.",IMDb 8.2,Drama·International·Romance·Fun,2011,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/7881853e28594bdb572aba1ec31f97aff4f127e68c12e357cfe9cb53442a327a._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0TZV1UJ71TP46I86TZZ50HUJMW/ref=atv_br_def_r_br_c_unkc_1_10
