,title,disciption,Imdb_rating,genres,Released_date,image_url,video,webpage_url
0,Dada,"Manikandan and Sindhu are in love and accidentally becomes teenage parents. They face obstacles and situations to bring up their son, Adithya.",IMDb 8.2,International·Drama·Romance,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/e3df8767b35ac8b8811aa766b868a90e32a713cbc219cf36bf044cc51932a3f6._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0R217Y1Q451WCBPMHE8BA2SKPJ/ref=atv_br_def_r_br_c_unkc_1_1
1,Varisu,"Vijay, the prodigal son of business tycoon Rajendran agrees to take over the reins of the business, much to the chagrin of his brothers. But can Vijay prove himself to be a worthy varisu and also reunite his now-broken family? This movie is also available as Vaarasudu (Telugu), Vamshajan (Malayalam) and Vaarasdara (Kannada)",IMDb 6.1,Drama·International·Action,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/bab7fe6e3b15b20a1f79899b50d402600c082e54368eb1a8eac9f4f31695ade0._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0R1YWU12P55RPK4O7W7JFJXTEM/ref=atv_br_def_r_br_c_unkc_1_2
2,Bakasuran,"A man investigates a disturbing ring of young escorts, cyber harassment and suicide. He knows the importance of parents being aware of their children's problems.",IMDb 6.3,Action,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/ed2bdb933c4956a9a9dda43df7f0c682f24d3bd0f0e597fe160faee56da916bc._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0K1UTCZG2R3H5NQ7WJ68D7JHM0/ref=atv_br_def_r_br_c_unkc_1_3
3,Single Shankarum Smartphone Simranum,A frustrated food delivery boy gets a super intelligent AI phone which has all the emotions of a girl. It changes his life completely when it starts falling in love with him,IMDb 4.5,Comedy·Drama,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/b790f2c7877868082457ab5b1362e7219eafd9097f45c9f42291ea5ac6d87bd1._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0IQ1XHOGCTVGHFYNKT5OHDMURI/ref=atv_br_def_r_br_c_unkc_1_4
4,Vasantha Mullai,"Rudhran, who works tirelessly for a successful career and money, embarks on a romantic journey to spend quality time with his girlfriend Nila. On the way, he stays at the Vasantha Mullai Motel. The events that unfold in a single night drive Rudhran insane and take him on a roller coaster ride.",IMDb 5.7,Suspense·International·Action,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/3ab0c6a3e5b51ffca25a3ed1c60d46b9896b6c9753e44e8292bd90d770064d24._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0K7KAPGMMXMTOZAS8UIGH2TKC4/ref=atv_br_def_r_br_c_unkc_1_5
5,Dr56 (Tamil),"Priya Krishna (Priyamani), a CBI officer, comes to the City for a murder investigation of a mystery case of three neurosurgeons. Arjun is a theater artist who is suffering from an illness and has to take a pill every 56 minutes. Priya finds Arjun to be a suspect after going through the CCTV footage. It is quite an enjoyable murder mystery that will find welcome by the faithful of that genre.",IMDb 7.6,Suspense·Action,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/096879d510afbeaa64fc0fe4f6371b285aee9915679eb0f5bb2a7a3c1fa5f4e5._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0L9W54HT6ZNKASYLWTLHYR7C6Z/ref=atv_br_def_r_br_c_unkc_1_6
6,Pallu Padama Paathuka,"Five youngsters, who are on the verge of committing suicide, happen to encounter zombies in a forest. Will they manage to escape?",IMDb 4.6,Suspense·Comedy·Erotic,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/cc76f633b9c89649e618755285bcb48222031c530e717bfece5a095d20444a57._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0N6V5OIQ8HCKY5PUBZD2H1UR73/ref=atv_br_def_r_br_c_unkc_1_7
7,Bigil,"Rayappan a local don lives in Chennai city slum. He does lot of social welfare for the people in his area. Rayappan’s son Michael, a Football player along with his friends Kiran and Donald participates in National Football Championship and has already reached semifinal, Michael falls in love with Angel Aasirvatham, a Physiotherapist student.",IMDb 6.7,Drama·Sports·Emotional·Intense,2019,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/e01f5d3dac637e77de54946d0c09a2d36bbecb2f58942f5e9429b575c05d8b14._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0STBXI66Z6MYO3WC6GNXCSX4Y3/ref=atv_br_def_r_br_c_unkc_1_8
8,Master (Tamil),"The film Master is about JD a Personality Development professor. He is addicted to alcohol due to depression. There comes a moment that forces him to leave the college and go work as a teacher at Juvenile for a few months. As JD spends time, he comes to understand that the youngsters of the detention home are being exploited by a deadly gangster Bhavani by pushing these young minds into addiction.",IMDb 7.3,Suspense·Drama·Campy·Emotional,2021,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/0ce6f2de4d4d41f929d71b0199857a1077ed0b39367c61bee06fdf7853237449._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0MNPNBTQEYNXZHB7B41T98YCMV/ref=atv_br_def_r_br_c_unkc_1_9
9,K.G.F Chapter 2 (Tamil),"Vijendra Ingalgi, Son of Anand Ingalgi continues the story of KGF and Rocky in Chapter 2. Rocky survives the attack by Vanaram’s guards after killing Garuda. He is a hero and a saviour to the people of Narachi. While trying to fulfil his promise to his mother, he must face many obstacles in the form of Adheera, Inayat Khalil and Ramika sen.",None,Drama·Action·International,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/6ec90c91c74add591c502154a62b59c34776263ce7036fb64a521e6ce18dfe5e._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0MUH0EX7KKXU8YDFORZ74OT5QU/ref=atv_br_def_r_br_c_unkc_1_10
